lat,lon,depth,mag,strike,dip,rake,src
40.75,29.98,0,3,115,55,-30,1
40.74,29.77,0,2.6,155,65,-10,1
40.74,29.77,0,3.3,155,70,0,1
40.69,29.99,0,2.8,175,70,0,1
40.69,30,0,2.9,115,50,0,1
40.7,29.98,0,3.5,55,80,-100,1
40.71,29.99,0,3.1,105,75,110,1
40.68,29.99,0,3.1,350,40,170,1
40.7,29.98,0,2.8,140,60,0,1
40.67,30.02,0,3.2,225,85,150,1
40.69,30.02,0,3.2,350,70,40,1
40.72,29.98,0,2.2,100,65,-40,1
40.77,29.78,0,2.8,155,65,0,1
40.71,29.71,0,3.3,115,50,-50,1
40.68,29.91,0,2.1,35,90,0,1
40.69,29.95,0,2,315,90,180,1
40.8,29.95,0,2,115,10,-160,1
40.71,29.7,0,1.9,80,25,170,1
40.73,29.7,0,2.1,20,70,-90,1
40.63,30.13,0,2.3,70,25,40,1
40.71,29.89,0,1.9,355,45,90,1
40.71,29.88,0,2.2,125,50,110,1
40.63,30.17,0,2.2,40,15,-120,1
40.75,30.05,0,2.7,160,25,-90,1
40.74,30.04,0,2.4,140,55,140,1
40.77,30.1,0,2.3,40,85,-180,1
40.81,30.11,0,2.3,85,45,-120,1
40.73,30.02,0,2.7,80,40,80,1
40.73,30,0,3.2,150,65,-90,1
40.81,30.06,0,2.3,90,45,100,1
40.83,28.24,15,5.3,355,70,-11,2
40.82,27.77,12,4.5,33,42,-137,2
40.86,27.67,12,5,92,46,-137,2
40.8,27.84,12,4.5,20,70,133,2
40.6,29.04,0,2.1,175,70,-20,2
40.83,28.89,0,2.9,120,85,-160,2
40.61,29.14,0,1.6,65,45,-110,2
40.87,29.04,0,2.5,290,90,-120,2
40.72,29.24,0,2.3,45,75,103,2
40.59,29.23,0,2.3,60,15,-90,2
40.79,28.71,20,3.1,341,22,72,2
40.83,27.98,9.2,3.1,260,71,-164,3
40.91,28.12,5.3,3.4,6,63,-28,3
40.8,28.14,1.9,3.2,285,71,-164,3
40.82,28.09,10.3,2.8,255,73,-148,3
40.83,27.94,3.9,3,315,90,-30,3
40.83,28.05,11.1,3.1,318,56,-97,3
40.84,27.97,16.2,3.1,58,60,-174,3
40.82,28.15,11,3.1,222,56,97,3
40.83,28.14,13.2,3.3,256,61,-168,3
40.84,28.07,8.8,3.1,266,61,-168,3
40.82,27.96,10.6,3,167,60,-6,3
40.7,29.17,7.4,2,209,61,5,4
40.7,29.23,5.5,2,191,54,21,4
40.71,29.29,13.8,2,64,74,49,4
40.73,29.06,10.4,2,196,66,7,4
40.74,29.06,10.2,2,192,88,5,4
40.75,29.11,8.2,2,217,74,16,4
40.76,29.09,8.7,2,190,77,25,4
40.76,29.2,7.8,2,234,84,15,4
40.78,29.1,9.5,2,217,49,11,4
40.79,29.12,10.4,2,200,69,12,4
40.81,28.99,13.8,2,236,67,26,4
40.82,28.79,9.9,2,60,57,33,4
40.85,28.69,7.4,2,239,78,60,4
40.85,28.81,12.5,2,239,65,44,4
40.85,28.86,11.4,2,249,83,38,4
40.86,28.47,6.5,2,184,60,33,4
40.87,28.68,5.4,2,230,82,62,4
40.87,28.74,3.7,2,226,80,55,4
